name	ID	cand1_vs_parental_p.val	cand1_vs_parental_p.adj	cand1_vs_parental_significant	cand1_vs_parental_ratio	cand1_centered
8	ARF4	P18085	1.35112799919477e-14	0.000164	TRUE	4.71	3.96
14	CAD	P27708	1.39284844288672e-12	0.0019	TRUE	3.82	3.34
33	DS1_GFP	DS1_GFP	2.27013268650868e-56	2.28e-15	TRUE	8.96	7.84
60	HSPA8	P11142	2.99471928067338e-12	0.00275	TRUE	4.32	4.05
62	HSPH1	Q92598-2	8.76630974251566e-12	0.00451	TRUE	4.23	3.7
90	PSMA1	P25786	4.63417020002525e-42	2.28e-15	TRUE	5.28	4.62
91	PSMA2	P25787	4.6613729181009e-53	2.28e-15	TRUE	7.59	6.64
92	PSMA3	P25788-2	5.68087039613515e-45	2.28e-15	TRUE	6.27	5.49
93	PSMA4	P25789	5.26876584765636e-50	2.28e-15	TRUE	6.69	5.85
94	PSMA5	P28066	2.07173610878011e-47	2.28e-15	TRUE	5.39	4.72
95	PSMA6	P60900	1.19994323134403e-48	2.28e-15	TRUE	7.53	6.59
96	PSMA7	O14818	1.21931419745e-26	2.28e-15	TRUE	8.23	7.1
97	PSMB1	P20618	4.8887908473782e-46	2.28e-15	TRUE	6.58	5.76
98	PSMB3	P49720	3.70311065920998e-50	2.28e-15	TRUE	7	6.13
99	PSMB4	P28070	8.4271391166282e-44	2.28e-15	TRUE	6.05	5.29
100	PSMB5	P28074	4.5828896264751e-12	0.00335	TRUE	4.41	3.86
101	PSMB7	Q99436	4.14246140087362e-50	2.28e-15	TRUE	6.73	5.89
102	PSMB8	P28062-2	1.68214220298837e-12	0.00208	TRUE	3.22	2.82
103	PSMC1	P62191	7.08583770644268e-53	2.28e-15	TRUE	7.63	6.68
104	PSMC2	P35998	3.78819755463674e-54	2.28e-15	TRUE	8.31	7.27
105	PSMC3	P17980	8.38811894509434e-48	2.28e-15	TRUE	7.06	6.18
106	PSMC4	P43686-2	7.72084593695024e-53	2.28e-15	TRUE	8.19	7.17
107	PSMC5	P62195	2.26537160957275e-54	2.28e-15	TRUE	8.47	7.41
108	PSMC6	P62333	6.49948448373495e-50	2.28e-15	TRUE	8.11	7.09
109	PSMD11	O00231	2.26903844377043e-51	2.28e-15	TRUE	8.1	7.09
110	PSMD12	O00232-2	4.52649781944274e-51	2.28e-15	TRUE	7.08	6.19
111	PSMD13	Q9UNM6	1.334108026797e-47	2.28e-15	TRUE	7.63	6.67
112	PSMD14	O00487	1.48026460761127e-45	2.28e-15	TRUE	5.86	5.13
113	PSMD2	Q13200	9.31218089049748e-56	2.28e-15	TRUE	8.17	7.15
114	PSMD3	O43242	6.60377308969632e-49	2.28e-15	TRUE	7.04	6.16
115	PSMD4	P55036	1.64954222735941e-45	2.28e-15	TRUE	5.29	4.63
116	PSMD6	Q15008	3.79870921237249e-46	2.28e-15	TRUE	6.14	5.37
117	PSMD7	P51665	6.70925864375539e-52	2.28e-15	TRUE	7.71	6.75
156	SLC25A6	P12236	1.3020638407457e-12	0.00184	TRUE	4.01	3.51
161	SQSTM1	Q13501	5.02021604707656e-17	3.67e-06	TRUE	8.73	7.3
174	TUBB3	Q13509	1.22914298998298e-12	0.00178	TRUE	4.53	3.96
176	TUFM	P49411	1.35763637422732e-16	7.61e-06	TRUE	4.79	4.05
177	UBA52	RS27A_HUMAN	1.81967059944813e-13	0.000666	TRUE	5.49	1.06
